
/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadc -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=120000 -threads 50
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadc -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=120000 -threads 50
threadcount: 50
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-7] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-08-09 12:57:07:668 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-08-09 12:57:08:611 1 sec: 0 operations; est completion in 106751991167300 days 15 hours [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2025-08-09 12:57:09:613 2 sec: 0 operations; est completion in 106751991167300 days 15 hours [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2025-08-09 12:57:10:611 3 sec: 15000 operations; 15000 current ops/sec; est completion in 1 hour 38 minutes [INSERT: Count=15000, Max=1274879, Min=989184, Avg=1134779.73, 90=1264639, 99=1274879, 99.9=1274879, 99.99=1274879] 
2025-08-09 12:57:11:611 4 sec: 20000 operations; 5000 current ops/sec; est completion in 1 hour 38 minutes [INSERT: Count=5000, Max=2301951, Min=1207296, Avg=1680793.6, 90=2301951, 99=2301951, 99.9=2301951, 99.99=2301951] 
2025-08-09 12:57:12:611 5 sec: 150000 operations; 130000 current ops/sec; est completion in 16 minutes [INSERT: Count=130000, Max=3342335, Min=2353152, Avg=2895273.35, 90=3176447, 99=3301375, 99.9=3342335, 99.99=3342335] 
2025-08-09 12:57:13:611 6 sec: 250000 operations; 100000 current ops/sec; est completion in 11 minutes [INSERT: Count=100000, Max=3133439, Min=2400256, Avg=2934046.72, 90=3028991, 99=3082239, 99.9=3133439, 99.99=3133439] 
2025-08-09 12:57:14:611 7 sec: 315000 operations; 65000 current ops/sec; est completion in 10 minutes [INSERT: Count=65000, Max=3258367, Min=2142208, Avg=3013033.35, 90=3219455, 99=3258367, 99.9=3258367, 99.99=3258367] 
2025-08-09 12:57:15:611 8 sec: 465000 operations; 150000 current ops/sec; est completion in 8 minutes [INSERT: Count=150000, Max=3446783, Min=1982464, Avg=3054438.4, 90=3397631, 99=3438591, 99.9=3446783, 99.99=3446783] 
2025-08-09 12:57:16:611 9 sec: 614000 operations; 149000 current ops/sec; est completion in 7 minutes [INSERT: Count=149000, Max=3565567, Min=1817600, Avg=3081686.77, 90=3520511, 99=3559423, 99.9=3565567, 99.99=3565567] 
2025-08-09 12:57:17:611 10 sec: 684000 operations; 70000 current ops/sec; est completion in 7 minutes [INSERT: Count=70000, Max=3338239, Min=1798144, Avg=2966520.69, 90=3139583, 99=3338239, 99.9=3338239, 99.99=3338239] 
2025-08-09 12:57:18:611 11 sec: 830000 operations; 146000 current ops/sec; est completion in 6 minutes [INSERT: Count=146000, Max=3723263, Min=1764352, Avg=3183815.89, 90=3672063, 99=3715071, 99.9=3723263, 99.99=3723263] 
2025-08-09 12:57:19:611 12 sec: 927000 operations; 97000 current ops/sec; est completion in 6 minutes [INSERT: Count=97000, Max=3989503, Min=2576384, Avg=3488345.73, 90=3944447, 99=3989503, 99.9=3989503, 99.99=3989503] 
2025-08-09 12:57:20:611 13 sec: 1002000 operations; 75000 current ops/sec; est completion in 6 minutes [INSERT: Count=75000, Max=3833855, Min=1751040, Avg=3045164.37, 90=3627007, 99=3833855, 99.9=3833855, 99.99=3833855] 
2025-08-09 12:57:21:611 14 sec: 1149000 operations; 147000 current ops/sec; est completion in 5 minutes [INSERT: Count=147000, Max=4222975, Min=1700864, Avg=3346038.42, 90=4161535, 99=4210687, 99.9=4222975, 99.99=4222975] 
2025-08-09 12:57:22:611 15 sec: 1279000 operations; 130000 current ops/sec; est completion in 5 minutes [INSERT: Count=130000, Max=4526079, Min=1666048, Avg=3478145.97, 90=4452351, 99=4505599, 99.9=4526079, 99.99=4526079] 
2025-08-09 12:57:23:611 16 sec: 1359000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=4538367, Min=1585152, Avg=3225811.2, 90=4247551, 99=4538367, 99.9=4538367, 99.99=4538367] 
2025-08-09 12:57:24:611 17 sec: 1467000 operations; 108000 current ops/sec; est completion in 5 minutes [INSERT: Count=108000, Max=4841471, Min=2010112, Avg=4088585.48, 90=4825087, 99=4837375, 99.9=4841471, 99.99=4841471] 
2025-08-09 12:57:25:611 18 sec: 1629000 operations; 162000 current ops/sec; est completion in 5 minutes [INSERT: Count=162000, Max=4956159, Min=2067456, Avg=3766828.25, 90=4857855, 99=4952063, 99.9=4956159, 99.99=4956159] 
2025-08-09 12:57:26:611 19 sec: 1722000 operations; 93000 current ops/sec; est completion in 5 minutes [INSERT: Count=93000, Max=4587519, Min=2097152, Avg=3022759.91, 90=4071423, 99=4587519, 99.9=4587519, 99.99=4587519] 
