
/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadg -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=80000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadg -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=80000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-05-01 02:40:08:416 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-05-01 02:40:09:393 1 sec: 19000 operations; 18981.02 current ops/sec; est completion in 21 minutes [INSERT: Count=19243, Max=472575, Min=343808, Avg=426327.44, 90=472319, 99=472575, 99.9=472575, 99.99=472575] 
2025-05-01 02:40:10:393 2 sec: 124000 operations; 105105.11 current ops/sec; est completion in 6 minutes [INSERT: Count=104757, Max=391167, Min=36864, Avg=139749.14, 90=308479, 99=387327, 99.9=391167, 99.99=391167] 
2025-05-01 02:40:11:393 3 sec: 206000 operations; 82000 current ops/sec; est completion in 6 minutes [INSERT: Count=82000, Max=75519, Min=35840, Avg=51404.1, 90=64671, 99=75519, 99.9=75519, 99.99=75519] 
2025-05-01 02:40:12:393 4 sec: 286000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=69183, Min=33216, Avg=49412, 90=60191, 99=69183, 99.9=69183, 99.99=69183] 
2025-05-01 02:40:13:393 5 sec: 367000 operations; 81000 current ops/sec; est completion in 5 minutes [INSERT: Count=81000, Max=67775, Min=32624, Avg=42891.95, 90=53855, 99=67775, 99.9=67775, 99.99=67775] 
2025-05-01 02:40:14:393 6 sec: 445000 operations; 78000 current ops/sec; est completion in 5 minutes [INSERT: Count=78000, Max=83455, Min=33152, Avg=45389.13, 90=64671, 99=83455, 99.9=83455, 99.99=83455] 
2025-05-01 02:40:15:393 7 sec: 522000 operations; 76923.08 current ops/sec; est completion in 5 minutes [INSERT: Count=77000, Max=82495, Min=34048, Avg=50765.09, 90=68031, 99=82495, 99.9=82495, 99.99=82495] 
2025-05-01 02:40:16:393 8 sec: 606000 operations; 84084.08 current ops/sec; est completion in 5 minutes [INSERT: Count=84000, Max=132351, Min=32768, Avg=55998.29, 90=87615, 99=132351, 99.9=132351, 99.99=132351] 
2025-05-01 02:40:17:393 9 sec: 686000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=61727, Min=31360, Avg=40282, 90=51231, 99=61727, 99.9=61727, 99.99=61727] 
2025-05-01 02:40:18:393 10 sec: 766000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=49535, Min=31744, Avg=38103.9, 90=43007, 99=49535, 99.9=49535, 99.99=49535] 
2025-05-01 02:40:19:393 11 sec: 845000 operations; 79000 current ops/sec; est completion in 5 minutes [INSERT: Count=79000, Max=48831, Min=32320, Avg=37189.87, 90=42015, 99=48831, 99.9=48831, 99.99=48831] 
2025-05-01 02:40:20:393 12 sec: 924000 operations; 79000 current ops/sec; est completion in 5 minutes [INSERT: Count=79000, Max=75711, Min=33120, Avg=43195.14, 90=55263, 99=75711, 99.9=75711, 99.99=75711] 
2025-05-01 02:40:21:393 13 sec: 1004000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=109375, Min=33536, Avg=62165.4, 90=86079, 99=109375, 99.9=109375, 99.99=109375] 
2025-05-01 02:40:22:393 14 sec: 1084000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=99583, Min=35936, Avg=57693.6, 90=84863, 99=99583, 99.9=99583, 99.99=99583] 
2025-05-01 02:40:23:393 15 sec: 1164000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=100991, Min=32896, Avg=52810.6, 90=75903, 99=100991, 99.9=100991, 99.99=100991] 
2025-05-01 02:40:24:393 16 sec: 1244000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=82047, Min=31456, Avg=48956.9, 90=65599, 99=82047, 99.9=82047, 99.99=82047] 
2025-05-01 02:40:25:393 17 sec: 1324000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=105983, Min=35776, Avg=58644.8, 90=76031, 99=105983, 99.9=105983, 99.99=105983] 
2025-05-01 02:40:26:393 18 sec: 1404000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=115007, Min=36960, Avg=54806.6, 90=71807, 99=115007, 99.9=115007, 99.99=115007] 
2025-05-01 02:40:27:393 19 sec: 1485000 operations; 81000 current ops/sec; est completion in 5 minutes [INSERT: Count=81000, Max=112831, Min=35104, Avg=57172.94, 90=83007, 99=112831, 99.9=112831, 99.99=112831] 
2025-05-01 02:40:28:393 20 sec: 1565000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=110143, Min=32496, Avg=57573.6, 90=77759, 99=110143, 99.9=110143, 99.99=110143] 
2025-05-01 02:40:29:393 21 sec: 1645000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=120191, Min=32032, Avg=59351.1, 90=84863, 99=120191, 99.9=120191, 99.99=120191] 
2025-05-01 02:40:30:393 22 sec: 1724000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=69759, Min=34848, Avg=48741.27, 90=63039, 99=69759, 99.9=69759, 99.99=69759] 
2025-05-01 02:40:31:393 23 sec: 1805000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=86143, Min=33088, Avg=44887.9, 90=58815, 99=86143, 99.9=86143, 99.99=86143] 
2025-05-01 02:40:32:393 24 sec: 1885000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=144255, Min=31056, Avg=58891.1, 90=86847, 99=144255, 99.9=144255, 99.99=144255] 
