/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=100000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=100000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-04-30 22:05:54:749 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-04-30 22:05:55:726 1 sec: 26000 operations; 26000 current ops/sec; est completion in 19 minutes [INSERT: Count=26000, Max=498687, Min=298240, Avg=436617.85, 90=492031, 99=498687, 99.9=498687, 99.99=498687] 
2025-04-30 22:05:56:726 2 sec: 156000 operations; 130000 current ops/sec; est completion in 6 minutes [INSERT: Count=130000, Max=332287, Min=53888, Avg=114923.57, 90=233215, 99=329215, 99.9=332287, 99.99=332287] 
2025-04-30 22:05:57:726 3 sec: 253000 operations; 97000 current ops/sec; est completion in 5 minutes [INSERT: Count=97000, Max=98239, Min=50656, Avg=75339.55, 90=91135, 99=98239, 99.9=98239, 99.99=98239] 
2025-04-30 22:05:58:725 4 sec: 355000 operations; 102000 current ops/sec; est completion in 5 minutes [INSERT: Count=102000, Max=118399, Min=50048, Avg=79976.47, 90=98879, 99=117823, 99.9=118399, 99.99=118399] 
2025-04-30 22:05:59:725 5 sec: 456000 operations; 101000 current ops/sec; est completion in 5 minutes [INSERT: Count=101000, Max=104575, Min=53312, Avg=73204.44, 90=92543, 99=104191, 99.9=104575, 99.99=104575] 
2025-04-30 22:06:00:725 6 sec: 552000 operations; 96000 current ops/sec; est completion in 5 minutes [INSERT: Count=96000, Max=119871, Min=46592, Avg=76470.5, 90=101759, 99=119871, 99.9=119871, 99.99=119871] 
2025-04-30 22:06:01:725 7 sec: 654000 operations; 102000 current ops/sec; est completion in 5 minutes [INSERT: Count=102000, Max=99967, Min=52352, Avg=74406.59, 90=89471, 99=98175, 99.9=99967, 99.99=99967] 
2025-04-30 22:06:02:725 8 sec: 756000 operations; 102000 current ops/sec; est completion in 5 minutes [INSERT: Count=102000, Max=95743, Min=47616, Avg=67318.9, 90=87551, 99=92351, 99.9=95743, 99.99=95743] 
2025-04-30 22:06:03:725 9 sec: 855000 operations; 99000 current ops/sec; est completion in 5 minutes [INSERT: Count=99000, Max=107071, Min=46656, Avg=67534.55, 90=92543, 99=107071, 99.9=107071, 99.99=107071] 
2025-04-30 22:06:04:725 10 sec: 957000 operations; 102000 current ops/sec; est completion in 5 minutes [INSERT: Count=102000, Max=86015, Min=49760, Avg=60765.49, 90=82111, 99=85311, 99.9=86015, 99.99=86015] 
2025-04-30 22:06:05:726 11 sec: 1056000 operations; 99000 current ops/sec; est completion in 5 minutes [INSERT: Count=99000, Max=90687, Min=44736, Avg=60234.02, 90=80703, 99=90687, 99.9=90687, 99.99=90687] 
2025-04-30 22:06:06:725 12 sec: 1154000 operations; 98000 current ops/sec; est completion in 5 minutes [INSERT: Count=98000, Max=102655, Min=43168, Avg=67453.71, 90=90495, 99=102655, 99.9=102655, 99.99=102655] 
2025-04-30 22:06:07:726 13 sec: 1256000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=88831, Min=48288, Avg=61460.55, 90=77951, 99=86463, 99.9=88831, 99.99=88831] 
2025-04-30 22:06:08:725 14 sec: 1356000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=97663, Min=44192, Avg=70543.04, 90=85631, 99=97535, 99.9=97663, 99.99=97663] 
